time,open,high,low,close,Time Segmented VWAP,Previous Time Segmented VWAP,Rolling VWAP,Time Segmented STDEV1,Time Segmented STDEV1,Time Segmented STDEV2,Time Segmented STDEV2,Time Segmented STDEV3,Time Segmented STDEV3,Time Segmented STDEV4,Time Segmented STDEV4,Previous Time Segmented STDEV1,Previous Time Segmented STDEV1,Previous Time Segmented STDEV2,Previous Time Segmented STDEV2,Previous Time Segmented STDEV3,Previous Time Segmented STDEV3,Previous Time Segmented STDEV4,Previous Time Segmented STDEV4,Rolling VWAP STDEV1,Rolling VWAP STDEV1,Rolling VWAP STDEV2,Rolling VWAP STDEV2,Rolling VWAP STDEV3,Rolling VWAP STDEV3,Rolling VWAP STDEV4,Rolling VWAP STDEV4,5 Ema,13 Ema,50 Ema,200 Ema,800 Ema,Upper 50 Ema Cloud,Lower 50 Ema Cloud,YDay Hi,YDay Lo,LWeek Hi,LWeek Lo,Psy-Hi,Psy-Lo,Daily Open,HK VWAP,LDN VWAP,NY VWAP,VWAP_Asia - STDEV +3,VWAP_Asia - STDEV +2,VWAP_Asia - STDEV +1,VWAP_Asia - STDEV -1,VWAP_Asia - STDEV -2,VWAP_Asia - STDEV -3,VWAP_London - STDEV +3,VWAP_London - STDEV +2,VWAP_London - STDEV +1,VWAP_London - STDEV -1,VWAP_London - STDEV -2,VWAP_London - STDEV -3,VWAP_NY - STDEV +3,VWAP_NY - STDEV +2,VWAP_NY - STDEV +1,VWAP_NY - STDEV -1,VWAP_NY - STDEV -2,VWAP_NY - STDEV -3,5 Ema,13 Ema,50 Ema,200 Ema,800 Ema,Upper 50 Ema Cloud,Lower 50 Ema Cloud,YDay Hi,YDay Lo,LWeek Hi,LWeek Lo,Psy-Hi,Psy-Lo,Daily Open,PVSRA Volume,Volume MA
1675296000,573756585434,594983907599,567657089684,573710628390,565366949916.7467,NaN,512066818361.8083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,566696332066.1763,556184924679.6783,516244079989.51855,559261764465.2521,662452475341.952,528322841204.0493,504165318774.9878,NaN,NaN,579071181050,530424957563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,566696332066.1763,556184924679.6783,516244079989.51855,559261764465.2521,662452475341.952,528322841204.0493,504165318774.9878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,139203678228.106,NaN
1675382400,574722989353,589883301556,568580087391,584400040829,568833490845.5842,NaN,511900027289.3341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,572597568320.4508,560215655558.1528,518916862767.5374,559511896568.3739,662257587865.0159,531086063937.24005,506747661597.8348,NaN,NaN,579071181050,530424957563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,572597568320.4508,560215655558.1528,518916862767.5374,559511896568.3739,662257587865.0159,531086063937.24005,506747661597.8348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132508345224.34811,NaN
1675468800,583898362671,596822792050,576645981486,585726178194,571463059291.0885,NaN,511764492153.8909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,576973771611.6339,563860015934.7024,521536835921.51636,559772735191.5144,662066498202.9159,533831213629.0368,509242458213.9959,NaN,NaN,579071181050,530424957563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,576973771611.6339,563860015934.7024,521536835921.51636,559772735191.5144,662066498202.9159,533831213629.0368,509242458213.9959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104904920689.57755,NaN
1675555200,585723435599,592454191571,564695267378,573471886298,572022595964.6265,NaN,511434116757.6795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,575806476507.0892,565233140272.3163,523573504563.7314,559909045152.773,661845288185.6752,535900944196.8905,511246064930.57227,NaN,NaN,579071181050,530424957563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,575806476507.0892,565233140272.3163,523573504563.7314,559909045152.773,661845288185.6752,535900944196.8905,511246064930.57227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80823172137.3529,NaN
1675641600,573152031104,584807521841,562903399341,568406429954,572039117045.3334,NaN,510764621220.05035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,573339794322.7262,565686467369.6997,525331658500.6047,559993596245.3225,661611982671.988,537605951717.4343,513057365283.775,NaN,NaN,579071181050,530424957563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,573339794322.7262,565686467369.6997,525331658500.6047,559993596245.3225,661611982671.988,537605951717.4343,513057365283.775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105244168970.24008,NaN
1675728000,568565685071,592335832324,566030867507,588287508127,577175822030.5973,NaN,510474111292.14624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,578322365590.8175,568915187477.8855,527800515348.6986,560275127706.8318,661428900338.5424,540125109274.8823,515475921422.5149,NaN,NaN,596822792050,541040265077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,578322365590.8175,568915187477.8855,527800515348.6986,560275127706.8318,661428900338.5424,540125109274.8823,515475921422.5149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107215734663.99449,NaN
1675814400,588428587275,598391155285,571768690858,581782887695,579700772226.8009,NaN,510030938028.5606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,579475872958.8783,570753430366.0447,529917471126.9849,560489135268.9031,661230033889.9941,542255651034.0167,517579291219.9531,NaN,NaN,596822792050,541040265077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,579475872958.8783,570753430366.0447,529917471126.9849,560489135268.9031,661230033889.9941,542255651034.0167,517579291219.9531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125334870849.41202,NaN
1675900800,582289893728,588439310087,539828103943,548749683884,573717338903.3322,NaN,509520791776.72974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,569233809933.9188,567610038011.4669,530655989274.31885,560372324807.3617,660949184077.2451,542892353604.73236,518419624943.90533,NaN,NaN,596822792050,541040265077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,569233809933.9188,567610038011.4669,530655989274.31885,560372324807.3617,660949184077.2451,542892353604.73236,518419624943.90533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137385945093.59827,NaN
1675987200,548560119636,557721884950,536339700075,545042656032,567333570403.6459,NaN,508692265563.30475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,561170091966.6125,564386126300.1145,531220172284.424,560219790789.6964,660659779512.8375,543399379294.02747,519040965274.82056,NaN,NaN,596822792050,541040265077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,561170091966.6125,564386126300.1145,531220172284.424,560219790789.6964,660659779512.8375,543399379294.02747,519040965274.82056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144687469831.19183,NaN
1676073600,545037508373,556236373896,541310770924,552498830997,564966686299.0708,NaN,508035749443.5609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,558279671643.4083,562687941256.8124,532054629488.83875,560142965319.1223,660389714722.5358,544183043202.9648,519926215774.7127,NaN,NaN,596822792050,541040265077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,558279671643.4083,562687941256.8124,532054629488.83875,560142965319.1223,660389714722.5358,544183043202.9648,519926215774.7127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98128602594.6974,NaN
