time,open,high,low,close,5 Ema,13 Ema,50 Ema,200 Ema,800 Ema,Upper 50 Ema Cloud,Lower 50 Ema Cloud,YDay Hi,YDay Lo,LWeek Hi,LWeek Lo,Psy-Hi,Psy-Lo,Daily Open,PVSRA Volume,Volume MA,PVSRA Volume,50 EMA
1659304800,105.5665,105.7616,104.9355,105.1225,105.75084524483557,106.1754707337748,104.98200942337522,100.32840225686593,96.34420968831532,105.68355506707243,104.280463779678,NaN,NaN,107.749,105.8456,NaN,NaN,NaN,87798,NaN,87798,104.98200942337522
1659398400,105.0585,106.0246,104.731,106.0225,105.84139682989039,106.15361777180698,105.02281297539972,100.38505994585233,96.36837520719592,105.72239596647125,104.32322998432818,NaN,NaN,107.1175,105.226,NaN,NaN,NaN,104805,NaN,104805,105.02281297539972
1659484800,106.083,106.5065,105.635,106.1185,105.93376455326026,106.14860094726312,105.0657810940115,100.44210910061997,96.39272008807683,105.76304851274104,104.36851367528196,NaN,NaN,107.1175,105.226,NaN,NaN,NaN,96268,NaN,96268,105.0657810940115
1659571200,106.137,106.2255,105.3645,105.4535,105.77367636884017,106.04930081193982,105.08098575699144,100.49197368668345,96.41534375826889,105.7711248344791,104.39084667950378,NaN,NaN,107.1175,105.226,NaN,NaN,NaN,76780,NaN,76780,105.08098575699144
1659657600,105.4305,106.594,105.4206,106.2375,105.92828424589345,106.07618641023413,105.12633925671726,100.54914310273635,96.43986849295486,105.80944649243429,104.44323202100023,NaN,NaN,107.1175,105.226,NaN,NaN,NaN,88785,NaN,88785,105.12633925671726
1659909600,106.2745,106.4765,105.7526,106.0765,105.9776894972623,106.07623120877211,105.16360046233619,100.60414167882853,96.4639299948451,105.83941052696599,104.48779039770639,NaN,NaN,107.1175,105.226,NaN,NaN,NaN,70239,NaN,70239,105.16360046233619
1660003200,106.0146,106.1035,105.6505,105.9975,105.98429299817487,106.06498389323325,105.19630240498968,100.6578069357556,96.48773416464574,105.86520406894303,104.52740074103633,NaN,NaN,106.594,104.731,NaN,NaN,NaN,59281,NaN,59281,105.19630240498968
1660089600,106.0225,106.0725,104.273,104.8885,105.6190286654499,105.8969147656285,105.18423172244107,100.69990338415604,96.50870985961542,105.84329641157566,104.52516703330647,NaN,NaN,106.594,104.731,NaN,NaN,NaN,81500,NaN,81500,105.18423172244107
1660176000,104.8746,105.1185,104.3015,104.7336,105.3238857769666,105.73072694196728,105.16655989018848,100.74003966889082,96.52924641427306,105.81571654565737,104.5174032347196,NaN,NaN,106.594,104.731,NaN,NaN,NaN,83734,NaN,83734,105.16655989018848
1660262400,104.7646,105.5146,104.7415,105.3246,105.32412385131107,105.67270880740053,105.17275754155364,100.78565718462325,96.55120734707138,105.81307177602837,104.5324433070789,NaN,NaN,106.594,104.731,NaN,NaN,NaN,74748,NaN,74748,105.17275754155364
1660514400,105.2976,106.1965,105.1876,106.1435,105.59724923420738,105.7399646920576,105.21082587325742,100.83896905343296,96.57515814021228,105.84366018413574,104.5779915623791,NaN,NaN,106.594,104.731,NaN,NaN,NaN,52424,NaN,52424,105.21082587325742
1660608000,106.1726,106.5995,105.9625,106.1465,105.78033282280492,105.7980411646208,105.24751897626693,100.89178030663264,96.59905662175981,105.87357886267083,104.62145908986304,NaN,NaN,106.4765,104.273,NaN,NaN,NaN,63157,NaN,63157,105.24751897626693
1660694400,106.1455,106.539,105.9386,106.3405,105.96705521520329,105.87553528396069,105.29038097719764,100.94599642298455,96.62337982619987,105.90656612233612,104.67419583205917,NaN,NaN,106.4765,104.273,NaN,NaN,NaN,74687,NaN,74687,105.29038097719764
1660780800,106.3646,107.2746,106.183,107.1685,106.36753681013552,106.06024452910916,105.36403270358205,101.00791188146232,96.64970971427427,105.96856801721283,104.75949738995128,NaN,NaN,106.4765,104.273,NaN,NaN,NaN,66020,NaN,66020,105.36403270358205
1660867200,107.2005,107.9226,107.1995,107.8485,106.86119120675701,106.31570959637928,105.46146279363766,101.0759774348806,96.6776717374596,106.05868187152213,104.8642437157532,NaN,NaN,106.4765,104.273,NaN,NaN,NaN,58764,NaN,58764,105.46146279363766
1661119200,107.8426,108.7856,107.773,108.6945,107.472294137838,106.65553679689653,105.58824856643619,101.15178362955841,96.70767630240977,106.18199204852817,104.99450508434421,NaN,NaN,106.4765,104.273,NaN,NaN,NaN,59260,NaN,59260,105.58824856643619
1661212800,108.7175,108.9806,107.754,108.2755,107.74002942522533,106.8869601116256,105.69363097559555,101.22266637951306,96.73655975733509,106.28315869053067,105.10410326066044,NaN,NaN,107.9226,105.1876,NaN,NaN,NaN,62085,NaN,62085,105.69363097559555
1661299200,108.3046,108.8115,108.052,108.3256,107.93521961681688,107.09248009567908,105.79684544714083,101.29334233593582,96.76549618740417,106.3840770269624,105.20961386731925,NaN,NaN,107.9226,105.1876,NaN,NaN,NaN,56054,NaN,56054,105.79684544714083
