time,open,high,low,close,5 Ema,13 Ema,50 Ema,200 Ema,800 Ema,Upper 50 Ema Cloud,Lower 50 Ema Cloud,YDay Hi,YDay Lo,LWeek Hi,LWeek Lo,Psy-Hi,Psy-Lo,Daily Open,PVSRA Volume,Volume MA,PVSRA Volume,50 EMA
1664150400,887752149442,909989992629,877020407625,902989171688,896923146396.1517,911123096858.096,963904198770.8179,1230817263821.5989,1317715072360.5742,983619394852.2012,944189002689.4346,NaN,NaN,927078068321,846987999814,NaN,NaN,NaN,139511655588.96188,NaN,139511655588.96188,963904198770.8179
1664236800,903373930651,943994379356,882394782042,895840481722,896562258171.4344,908939866124.3679,961235033396.3544,1227484161512.1501,1316661702596.1833,980912478254.4028,941557588538.3059,NaN,NaN,927078068321,846987999814,NaN,NaN,NaN,171964716755.41464,NaN,171964716755.41464,961235033396.3544
1664323200,894833588277,917583669109,865053346972,903986511107,899037009149.9563,908232243979.0297,958989993306.5758,1224265279418.5667,1315631302617.4338,978623450147.6648,939356536465.4868,NaN,NaN,927078068321,846987999814,NaN,NaN,NaN,159455809865.33966,NaN,159455809865.33966,958989993306.5758
1664409600,904552658313,917814866565,878646652104,911400867058,903158295119.3042,908684904418.8826,957123753061.5336,1221152200688.6108,1314621988171.5925,976720716426.286,937526789696.7811,NaN,NaN,927078068321,846987999814,NaN,NaN,NaN,126539901409.54918,NaN,126539901409.54918,957123753061.5336
1664496000,910432434566,933130566410,893287458172,905642351862,903986314033.5361,908250254053.6136,955104874583.1205,1218012799207.749,1313600815546.5999,974577482487.4542,935632266678.7867,NaN,NaN,927078068321,846987999814,NaN,NaN,NaN,135034255564.36462,NaN,135034255564.36462,955104874583.1205
1664582400,904997335578,909598949483,891539852560,898547245407,902173291158.024,906864109961.2402,952886928340.9197,1214834037478.3884,1312564477044.3787,972383277109.4026,933390579572.4368,NaN,NaN,927078068321,846987999814,NaN,NaN,NaN,65257651330.61055,NaN,65257651330.61055,952886928340.9197
1664668800,898497603577,904341893573,878715982974,884666729245,896337770520.3494,903693055573.2059,950211626415.5895,1211548790630.295,1311496068185.9534,969805416522.1716,930617836309.0073,NaN,NaN,927078068321,846987999814,NaN,NaN,NaN,71103950429.19005,NaN,71103950429.19005,950211626415.5895
1664755200,884280236929,911294060431,877125357569,905951820771,899542453937.2329,904015736315.7479,948475947762.8605,1208508024761.048,1310483473311.0098,968126443330.6162,928825452195.1047,NaN,NaN,943994379356,865053346972,NaN,NaN,NaN,97879195617.23837,NaN,97879195617.23837,948475947762.8605
1664841600,906291536358,937612841593,900618951602,931125435167,910070114347.1553,907888550437.3553,947795535504.1992,1205747998993.943,1309536262229.5017,967431744844.8066,928159326163.5918,NaN,NaN,943994379356,865053346972,NaN,NaN,NaN,107335007560.69398,NaN,107335007560.69398,947795535504.1992
1664928000,931183145164,936510537037,905894562246,925662958230,915267728974.7701,910427751550.5903,946927591297.3679,1202961083165.4463,1308577777075.9448,966541200766.3744,927313981828.3615,NaN,NaN,943994379356,865053346972,NaN,NaN,NaN,100934556591.77736,NaN,100934556591.77736,946927591297.3679
1665014400,926078886174,940550993232,912426463422,918807081825,916447513258.18,911624798732.6488,945824826220.0201,1200133680167.034,1307604566850.599,965366106115.8027,926283546324.2375,NaN,NaN,943994379356,865053346972,NaN,NaN,NaN,106955260320.52007,NaN,106955260320.52007,945824826220.0201
1665100800,919096795278,927230988465,896471735322,907896983238,913597336584.7867,911092253661.9847,944337459828.5684,1197225852336.8943,1306606545418.358,963793675356.3672,924881244300.7695,NaN,NaN,943994379356,865053346972,NaN,NaN,NaN,94065400264.10893,NaN,94065400264.10893,944337459828.5684
1665187200,907993623397,913469337316,893837771606,901297606622,909497426597.1912,909693018370.5583,942649622447.9186,1194281292678.0396,1305594538080.5393,962004803191.7439,923294441704.0933,NaN,NaN,943994379356,865053346972,NaN,NaN,NaN,56957560981.87302,NaN,56957560981.87302,942649622447.9186
1665273600,901724847285,911762748893,895870389527,905531793571,908175548921.7941,909098557684.9071,941194021315.4904,1191408163333.691,1304595629854.5479,960363394976.4489,922024647654.5319,NaN,NaN,943994379356,865053346972,NaN,NaN,NaN,55942889919.17583,NaN,55942889919.17583,941194021315.4904
1665360000,906659761133,913267708236,883045225827,887217622931,901189573591.5294,905972709862.9204,939077299810.2162,1188381391787.3955,1303553487515.1633,958113378898.5638,920041220721.8685,NaN,NaN,940550993232,877125357569,NaN,NaN,NaN,89638356308.914,NaN,89638356308.914,939077299810.2162
1665446400,886989126031,893707723244,871144376915,881281701239,894553616140.6863,902445422916.6461,936810805748.5999,1185325673473.4812,1302499126001.3652,955740362668.3108,917881248828.8889,NaN,NaN,940550993232,877125357569,NaN,NaN,NaN,93337099722.33482,NaN,93337099722.33482,936810805748.5999
1665532800,881784923051,892456458124,875518029716,885050352632,891385861637.7909,899960412875.9824,934780984057.7528,1182337859335.7551,1301456806966.735,953719845630.762,915842122484.7437,NaN,NaN,940550993232,877125357569,NaN,NaN,NaN,78589368131.87645,NaN,78589368131.87645,934780984057.7528
1665619200,885415637429,895872232752,832738039881,887015189953,889928971076.194,898111095315.5564,932907815661.488,1179399325312.0461,1300421996437.3625,951832370380.9451,913983260942.031,NaN,NaN,940550993232,877125357569,NaN,NaN,NaN,146198834067.57144,NaN,146198834067.57144,932907815661.488
1665705600,886310401540,913863994813,875181533479,882666849341,887508263831.1293,895904774462.0483,930937581688.1356,1176446763362.0854,1299378912424.6375,949911590408.3064,911963572967.9648,NaN,NaN,940550993232,877125357569,NaN,NaN,NaN,117975322069.49878,NaN,117975322069.49878,930937581688.1356
1665792000,882992301806,888084104811,870932431069,876252465445,883756331035.7528,893097301745.3271,928793067325.6597,1173459755422.612,1298322416926.561,947898093496.4557,909688041154.8636,NaN,NaN,940550993232,877125357569,NaN,NaN,NaN,59173788726.16424,NaN,59173788726.16424,928793067325.6597
1665878400,875685705677,893171309862,873115429751,885432406930,884315023000.5018,892002316771.709,927092649270.9279,1170593811656.5164,1297291480572.013,946291522229.5912,907893776312.2645,NaN,NaN,940550993232,877125357569,NaN,NaN,NaN,63525247046.80632,NaN,63525247046.80632,927092649270.9279
1665964800,885756680704,905556309769,878381049004,898343936707,888991327569.3346,892908262476.7506,925965248778.2249,1167884857676.9192,1296295356866.9817,945228805349.2952,906701692207.1545,NaN,NaN,913863994813,832738039881,NaN,NaN,NaN,86907548434.62497,NaN,86907548434.62497,925965248778.2249
