time,open,high,low,close,5 Ema,13 Ema,50 Ema,200 Ema,800 Ema,Upper 50 Ema Cloud,Lower 50 Ema Cloud,YDay Hi,YDay Lo,LWeek Hi,LWeek Lo,Psy-Hi,Psy-Lo,Daily Open,PVSRA Volume,Volume MA,PVSRA Volume,50 EMA
1672185600,297424745463,298917833646,290035923840,292223239690,296245101960.1857,300652148053.50916,320043942569.2383,390486739653.1351,454723354744.0877,327173714606.3081,312914170532.16846,NaN,NaN,304194140046,290287374105,NaN,NaN,NaN,74548643411.15367,NaN,74548643411.15367,320043942569.2383
1672272000,291990894663,295450208868,286959920180,291303123570,294597775830.12384,299316573127.2936,318916851628.0917,389499838000.5666,454315314216.8116,326143078569.1509,311690624687.0325,NaN,NaN,304194140046,290287374105,NaN,NaN,NaN,64329508643.01402,NaN,64329508643.01402,318916851628.0917
1672358400,291416902602,293870374879,286907588904,291195313840,293463621833.4159,298156393229.10876,317829732499.1469,388521683531.3072,453908023329.4787,325154618045.3321,310504846952.96173,NaN,NaN,304194140046,290287374105,NaN,NaN,NaN,64074080759.97453,NaN,64074080759.97453,317829732499.1469
1672444800,291383644289,295002999942,289362069699,291823086808,292916776824.9439,297251635168.9504,316809864040.67053,387559508439.53296,453503316871.2478,324196427025.21606,309423301056.125,NaN,NaN,304194140046,290287374105,NaN,NaN,NaN,59806930546.46252,NaN,59806930546.46252,316809864040.67053
1672531200,291835486315,294432863336,289348480239,292539850073,292791134574.29596,296578523012.38605,315858098787.0364,386614039202.055,453101410587.10736,323288694180.5027,308427503393.57007,NaN,NaN,304194140046,290287374105,NaN,NaN,NaN,43853438938.07794,NaN,43853438938.07794,315858098787.0364
1672617600,293194155572,299962969690,287801453681,296195261052,293925843400.1973,296523771303.75946,315087007111.1526,385714349867.2286,452709634932.8374,322553279084.032,307620735138.2732,NaN,NaN,302081939363,286907588904,NaN,NaN,NaN,53299892942.97481,NaN,53299892942.97481,315087007111.1526
1672704000,295974242002,299526002022,293171917479,296559534523,294803740441.13153,296528880335.0795,314360439558.676,384827237276.7388,452319747041.67676,321862971263.8599,306857907853.4921,NaN,NaN,302081939363,286907588904,NaN,NaN,NaN,52320328748.8839,NaN,52320328748.8839,314360439558.676
1672790400,296087268737,305352383508,294969522407,302411649393,297339710091.75433,297369275914.7825,313891859552.17896,384007181675.9055,451945444675.51276,321402199068.7414,306381520035.6165,NaN,NaN,302081939363,286907588904,NaN,NaN,NaN,77655535460.1305,NaN,77655535460.1305,313891859552.17896
1672876800,302289813051,304684810488,297792109914,300153154320,298277524834.50287,297766972829.81354,313353086797.9758,383172813244.5035,451566437708.33295,320882880361.40826,305823293234.5434,NaN,NaN,302081939363,286907588904,NaN,NaN,NaN,72879098351.26247,NaN,72879098351.26247,313353086797.9758
1672963200,299772352520,304798580777,295337550992,303378197267,299977748978.6686,298568576320.84015,312961914659.50616,382378836966.12036,451196429617.3433,320496309491.19696,305427519827.81537,NaN,NaN,302081939363,286907588904,NaN,NaN,NaN,65031983475.95858,NaN,65031983475.95858,312961914659.50616
1673049600,303252921033,306208795833,300899767397,303022862145,300992786700.77905,299204902867.1487,312572147894.2314,381589225276.358,450826458162.9804,320097289951.8144,305047005836.6484,NaN,NaN,302081939363,286907588904,NaN,NaN,NaN,61629587699.835724,NaN,61629587699.835724,312572147894.2314
1673136000,303636398009,312974373700,300955338952,310277357055,304087643485.51935,300786682036.84174,312482156096.61444,380879654448.2847,450475524077.8169,319981997989.70123,304982314203.52765,NaN,NaN,302081939363,286907588904,NaN,NaN,NaN,37858832152.98226,NaN,37858832152.98226,312482156096.61444
1673222400,311115300590,323223938545,308731811629,314114558506,307429948492.34625,302690664389.5786,312546171877.37463,380215325135.42615,450135047259.9097,320018949711.0127,305073394043.7366,NaN,NaN,312974373700,287801453681,NaN,NaN,NaN,87820190397.02692,NaN,87820190397.02692,312546171877.37463
1673308800,314899524916,320162703284,310763329989,316808065011,310555987331.8975,304707435906.9245,312713304941.43835,379584407124.23785,449802145930.94867,320164396549.78107,305262213333.09564,NaN,NaN,312974373700,287801453681,NaN,NaN,NaN,87235010424.39946,NaN,87235010424.39946,312713304941.43835
1673395200,316867881958,324842968585,311379037496,322457578935,314523184532.9317,307243170625.221,313095433333.3427,379015980973.10114,449484181968.412,320504749317.76556,305686117348.91986,NaN,NaN,312974373700,287801453681,NaN,NaN,NaN,78083433628.45189,NaN,78083433628.45189,313095433333.3427
1673481600,323297130128,330321202710,316778759550,327180071144,318742146736.62115,310091299270.76086,313647772071.01556,378500200775.79663,449178803414.5433,320988311368.6935,306307232773.33765,NaN,NaN,312974373700,287801453681,NaN,NaN,NaN,118392354156.9142,NaN,118392354156.9142,313647772071.01556
1673568000,327798463962,338370280110,323505412837,335360451022,324281581498.4141,313701178092.36646,314499249676.9365,378070949534.46533,448894612771.86523,321770592268.6474,307227907085.22565,NaN,NaN,312974373700,287801453681,NaN,NaN,NaN,140955648649.05414,NaN,140955648649.05414,314499249676.9365
1673654400,335970746129,357311665757,331808019129,346178830743,331580664579.94275,318340842756.7427,315741586189.3312,377753615019.1274,448638143902.87933,322959715204.4723,308523457174.19006,NaN,NaN,312974373700,287801453681,NaN,NaN,NaN,215417778202.6968,NaN,215417778202.6968,315741586189.3312
1673740800,347256186393,352267627466,337786433680,346319022117,336493450425.6285,322337725522.4937,316940701323.7496,377440833000.20074,448382665446.4851,324105589578.454,309775813069.04517,NaN,NaN,312974373700,287801453681,NaN,NaN,NaN,110516615279.90135,NaN,110516615279.90135,316940701323.7496
1673827200,346077689060,355992197702,337877610969,345348704386,339445201745.7523,325625008217.28033,318054740659.5241,377121508337.37286,448125402122.9883,325172342970.1886,310937138348.8596,NaN,NaN,357311665757,308731811629,NaN,NaN,NaN,118235599907.05302,NaN,118235599907.05302,318054740659.5241
