time,open_DXY,high_DXY,low_DXY,close_DXY,Time Segmented VWAP_DXY,Rolling VWAP_DXY,5 Ema_DXY,13 Ema_DXY,50 Ema_DXY,200 Ema_DXY,800 Ema_DXY,Upper 50 Ema Cloud_DXY,Lower 50 Ema Cloud_DXY,LWeek Hi_DXY,LWeek Lo_DXY,5 Ema.1_DXY,13 Ema.1_DXY,50 Ema.1_DXY,200 Ema.1_DXY,800 Ema.1_DXY,Upper 50 Ema Cloud.1_DXY,Lower 50 Ema Cloud.1_DXY,PVSRA Volume_DXY,open_TOTAL1,high_TOTAL1,low_TOTAL1,close_TOTAL1,Time Segmented VWAP_TOTAL1,Rolling VWAP_TOTAL1,5 Ema_TOTAL1,13 Ema_TOTAL1,50 Ema_TOTAL1,200 Ema_TOTAL1,800 Ema_TOTAL1,Upper 50 Ema Cloud_TOTAL1,Lower 50 Ema Cloud_TOTAL1,LWeek Hi_TOTAL1,LWeek Lo_TOTAL1,5 Ema.1_TOTAL1,13 Ema.1_TOTAL1,50 Ema.1_TOTAL1,200 Ema.1_TOTAL1,800 Ema.1_TOTAL1,Upper 50 Ema Cloud.1_TOTAL1,Lower 50 Ema Cloud.1_TOTAL1,PVSRA Volume_TOTAL1,open,high,low,close,Time Segmented VWAP,Rolling VWAP,5 Ema,13 Ema,50 Ema,200 Ema,800 Ema,Upper 50 Ema Cloud,Lower 50 Ema Cloud,LWeek Hi,LWeek Lo,5 Ema.1,13 Ema.1,50 Ema.1,200 Ema.1,800 Ema.1,Upper 50 Ema Cloud.1,Lower 50 Ema Cloud.1,PVSRA Volume,open_TOTAL3,high_TOTAL3,low_TOTAL3,close_TOTAL3,Time Segmented VWAP_TOTAL3,Rolling VWAP_TOTAL3,5 Ema_TOTAL3,13 Ema_TOTAL3,50 Ema_TOTAL3,200 Ema_TOTAL3,800 Ema_TOTAL3,Upper 50 Ema Cloud_TOTAL3,Lower 50 Ema Cloud_TOTAL3,LWeek Hi_TOTAL3,LWeek Lo_TOTAL3,5 Ema.1_TOTAL3,13 Ema.1_TOTAL3,50 Ema.1_TOTAL3,200 Ema.1_TOTAL3,800 Ema.1_TOTAL3,Upper 50 Ema Cloud.1_TOTAL3,Lower 50 Ema Cloud.1_TOTAL3,PVSRA Volume_TOTAL3
1678752000,103.2539,103.6259,103.0529,103.2169,103.36967946209144,105.25849847674657,103.8193626640061,104.05484675204244,103.828168896779,104.40769896304072,99.60022045266012,104.50462155609888,103.1517162374591,105.4879,103.5709,103.8193626640061,104.05484675204244,103.828168896779,104.40769896304072,99.60022045266012,104.50462155609888,103.1517162374591,106425,1041362229816,1119298139370,1030067058522,1062176703862,1048364340705.7856,944330449905.8853,1008301010515.5076,992721525122.9412,984770754282.005,980722300651.0936,1175158207467.4229,1012404928112.3804,957136580451.6296,998542797026,873246214296,1008301010515.5076,992721525122.9412,984770754282.005,980722300651.0936,1175158207467.4229,1012404928112.3804,957136580451.6296,168175650468.7056,573390542607,606730105480,565388008166,583805538508,577128843286.4138,534560764825.9922,561084067620.7477,555914449322.9521,554172234363.6436,561737162263.1342,653412878417.802,567547237410.6575,540797231316.6296,563043182817,495489331484,561084067620.7477,555914449322.9521,554172234363.6436,561737162263.1342,653412878417.802,567547237410.6575,540797231316.6296,220555864562.666,367721680609,388351493737,361984286432,375145859220,370666422242.0424,350270718190.4655,362878784768.7623,361788160833.1247,362299101142.4284,372970954804.5596,437391832578.9461,370231859949.4352,354366342335.4216,369138120579,323802178355,362878784768.7623,361788160833.1247,362299101142.4284,372970954804.5596,437391832578.9461,370231859949.4352,354366342335.4216,235851015796.90524
1678838400,103.3069,104.6949,103.0189,104.3159,103.5652646280025,105.10924431210448,103.9848751093374,104.09214007317924,103.84729560670922,104.4067855405229,99.61199493342752,104.5007450856183,103.19384612780014,105.4879,103.5709,103.9848751093374,104.09214007317924,103.84729560670922,104.4067855405229,99.61199493342752,104.5007450856183,103.19384612780014,114911,1061713458365,1081493877780,1011134614155,1034531951228,1046286363331.942,947641061482.5724,1017044657419.6718,998694443137.9496,986722173770.0833,981257720059.819,1174807080735.2395,1014372704672.7904,959071642867.376,998542797026,873246214296,1017044657419.6718,998694443137.9496,986722173770.0833,981257720059.819,1174807080735.2395,1014372704672.7904,959071642867.376,169957315129.4136,583410028442,592946962762,548805418696,563627591981,574102984601.2839,535759471647.2403,561931909074.1652,557016326845.5304,554543032701.5791,561755972509.0831,653188695430.4442,567919988515.2522,541166076887.906,563043182817,495489331484,561931909074.1652,557016326845.5304,554543032701.5791,561755972509.0831,653188695430.4442,567919988515.2522,541166076887.906,220871497825.9528,374767481495,382224060090,351178967186,360953218490,368620057776.01526,350779285865.4585,362236929342.5082,361668883355.53546,362246321430.5685,372851375338.74304,437200974616.1772,370182394411.33685,354310248449.8001,369138120579,323802178355,362236929342.5082,361668883355.53546,362246321430.5685,372851375338.74304,437200974616.1772,370182394411.33685,354310248449.8001,235744466988.08987
1678924800,104.3299,104.3689,103.8599,104.0709,103.6782191892674,105.01089613149789,104.0135500728916,104.08910577701076,103.85606440644612,104.40344339584108,99.62312827941146,104.49263780079504,103.2194910120972,105.4879,103.5709,104.0135500728916,104.08910577701076,103.85606440644612,104.40344339584108,99.62312827941146,104.49263780079504,103.2194910120972,100757,1034394646459,1067125539906,1024279982868,1056774828086,1046968326910.6448,950485728736.8712,1030288047641.7812,1006991640987.671,989469336684.433,982009134070.0298,1174512368493.918,1017195346643.4408,961743326725.425,998542797026,873246214296,1030288047641.7812,1006991640987.671,989469336684.433,982009134070.0298,1174512368493.918,1017195346643.4408,961743326725.425,137482647759.92175,563518947556,579856629729,556412265811,572778184865,573130218662.2983,536782427470.8104,565547334337.7767,559268020848.3118,555258136707.9878,561865646263.8684,652987920123.1647,568654936613.9547,541861336802.0209,563043182817,495489331484,565547334337.7767,559268020848.3118,555258136707.9878,561865646263.8684,652987920123.1647,568654936613.9547,541861336802.0209,178530141117.88272,360800519473,372409675455,355906357229,367543750092,367888339900.1964,351217454640.925,364005869592.3388,362508150032.1733,362454063731.0168,372798563147.2332,437027048961.9346,370402657263.4451,354505470198.58844,369138120579,323802178355,364005869592.3388,362508150032.1733,362454063731.0168,372798563147.2332,437027048961.9346,370402657263.4451,354505470198.58844,190541266310.48105
1679011200,104.0499,104.0959,103.3039,103.4559,103.6703120240267,104.91882291714263,103.82766671526107,103.99864780886638,103.8403716846247,104.39401510334515,99.63269824625438,104.46658306577169,103.21416030347773,105.4879,103.5709,103.82766671526107,103.99864780886638,103.8403716846247,104.39401510334515,99.63269824625438,104.46658306577169,103.21416030347773,72875,1057628500291,1146470266543,1050006221035,1134125505979,1058016485194.484,954334872188.7115,1064900533754.1874,1025153621700.718,995142127637.1613,983522729810.4176,1174411527389.0117,1023184510836.6616,967099744437.6604,998542797026,873246214296,1064900533754.1874,1025153621700.718,995142127637.1613,983522729810.4176,1174411527389.0117,1023184510836.6616,967099744437.6604,132614540160.70668,573618973393,608869693295,568004423964,603751369073,576760414616.163,538245528821.3823,578282012582.8512,565622784880.41,557159832094.8511,562282419625.1533,652864982417.6711,570641388957.9773,543678275231.7249,563043182817,495489331484,578282012582.8512,565622784880.41,557159832094.8511,562282419625.1533,652864982417.6711,570641388957.9773,543678275231.7249,175504529050.386,368397999746,388203913992,364063480957,384229785420,369822658088.5367,351909454451.7249,370747174868.2259,365611240801.8628,363308013601.173,372912306652.4348,436895220588.5465,371300721595.6959,355315305606.65,369138120579,323802178355,370747174868.2259,365611240801.8628,363308013601.173,372912306652.4348,436895220588.5465,371300721595.6959,355315305606.65,186361831096.1092
1679356800,102.9129,103.0969,102.5929,102.8049,102.99774975340654,104.71784038338645,103.27479631789382,103.69038818610592,103.76335040937482,104.3632279920688,99.64869153119623,104.35830052333704,103.1684002954126,104.6949,103.0189,103.27479631789382,103.69038818610592,103.76335040937482,104.3632279920688,99.64869153119623,104.35830052333704,103.1684002954126,46835,1124915792135,1172639031334,1106897849277,1154024560845,1137548117508.2036,968622281928.4888,1124000472075.0369,1075894227295.041,1015664738948.6904,989404884246.905,1174003839219.2937,1044853598276.1172,986475879621.2632,1165838543519,967143387800,1124000472075.0369,1075894227295.041,1015664738948.6904,989404884246.905,1174003839219.2937,1044853598276.1172,986475879621.2632,116794398646.87184,587648566587,621545065060,577344094996,609321546677,597513947666.2788,543428217065.3966,595135298205.6866,580468383391.9626,563095046765.2269,563649639351.5845,652310258991.7097,576830475987.7882,549359617542.6657,619790687035,543257769239,595135298205.6866,580468383391.9626,563095046765.2269,563649639351.5845,652310258991.7097,576830475987.7882,549359617542.6657,153468631816.0529,374981143180,396514209949,366332389999,388169943126,380609452447.9866,354345849457.3329,379473400668.1928,372520574725.2854,365805959309.3349,373193882695.6996,436329769564.9631,373925921129.9429,357685997488.7269,393893424952,350540957242,379473400668.1928,372520574725.2854,365805959309.3349,373193882695.6996,436329769564.9631,373925921129.9429,357685997488.7269,163351545271.85815
1679443200,102.7739,102.8629,101.6229,102.1319,102.73102723355316,104.6258486032049,102.89383087859588,103.46774701666222,103.69937196194836,104.341025723491,99.65489180202972,104.27198407784935,103.12675984604736,104.6949,103.0189,102.89383087859588,103.46774701666222,103.69937196194836,104.341025723491,99.65489180202972,104.27198407784935,103.12675984604736,59355,1154133446075,1180056192271,1094721166491,1119838182806,1135797405811.541,971933473858.701,1122613042318.6912,1082171935225.178,1019749972041.1338,990702728013.6622,1173868594134.6162,1049098945829.769,990400998252.4984,1165838543519,967143387800,1122613042318.6912,1082171935225.178,1019749972041.1338,990702728013.6622,1173868594134.6162,1049098945829.769,990400998252.4984,106277099000.82492,609449782623,621197226613,579313570925,591900016635,597501635732.4005,544630331972.20746,594056871015.4578,582101473855.2537,564224653426.7866,563930737633.0115,652159421932.1425,577980961756.6,550468345096.9733,619790687035,543257769239,594056871015.4578,582101473855.2537,564224653426.7866,563930737633.0115,652159421932.1425,577980961756.6,550468345096.9733,135047611033.38376,388421776676,397960372381,369509695988,379117561794,381060622248.2109,354959269582.5521,379354787710.1285,373463001449.3875,366327982936.1845,373252824776.27966,436186917610.4788,374460978493.5772,358194987378.7918,393893424952,350540957242,379354787710.1285,373463001449.3875,366327982936.1845,373252824776.27966,436186917610.4788,374460978493.5772,358194987378.7918,145305296526.4229
1679529600,102.0179,102.2429,101.5039,102.1849,102.516395372663,104.51353896144236,102.65752058573058,103.28448315713904,103.63998090461703,104.3195717361926,99.66120892611954,104.1883553397568,103.09160646947728,104.6949,103.0189,102.65752058573058,103.28448315713904,103.63998090461703,104.3195717361926,99.66120892611954,104.1883553397568,103.09160646947728,70148,1119876737964,1181860821592,1109012400184,1157242392722,1139110297379.0803,976059222971.3698,1134156159119.7942,1092896286296.1526,1025141831675.6776,992359839105.2876,1173827080523.099,1054836310764.3512,995447352587.004,1165838543519,967143387800,1134156159119.7942,1092896286296.1526,1025141831675.6776,992359839105.2876,1173827080523.099,1054836310764.3512,995447352587.004,117777985841.664,591920870938,624882996169,583597684178,609502691951,599517614508.4739,546157106290.8872,599205477993.9718,586015933583.2174,566000262780.6774,564384189914.7825,652052913243.0509,579847271948.1104,552153253613.2444,619790687035,543257769239,599205477993.9718,586015933583.2174,566000262780.6774,564384189914.7825,652052913243.0509,579847271948.1104,552153253613.2444,149117569713.1787,379138416097,397276171175,371427098668,387144482079,382074249877.4439,355743715905.31134,381951352499.7523,375417498682.1893,367144316235.9028,373391050222.0779,436064464587.9282,375316496326.5615,358972136145.2441,393893424952,350540957242,381951352499.7523,375417498682.1893,367144316235.9028,373391050222.0779,436064464587.9282,375316496326.5615,358972136145.2441,161420847312.50867
1679616000,102.2139,102.9709,102.1149,102.7249,102.53473320993392,104.40302018099707,102.67998039048706,103.20454270611916,103.6040953789458,104.30370435573296,99.66885859172224,104.1206162820902,103.08757447580136,104.6949,103.0189,102.67998039048706,103.20454270611916,103.6040953789458,104.30370435573296,99.66885859172224,104.1206162820902,103.08757447580136,65633,1157358768925,1169390971658,1102482672073,1121235439648,1137585121517.5088,979490512087.4865,1129849252629.196,1096944736774.988,1028910208458.906,993642183389.2946,1173695765564.6094,1058772281128.5114,999048135789.3004,1165838543519,967143387800,1129849252629.196,1096944736774.988,1028910208458.906,993642183389.2946,1173695765564.6094,1058772281128.5114,999048135789.3004,112393311782.76064,609550227122,615441132223,580034427118,589882158512,598702769374.4183,547387503136.3165,596097704833.3146,586568251430.1864,566936807711.3175,564637901045.103,651897680397.2805,580800581298.0868,553073034124.5482,619790687035,543257769239,596097704833.3146,586568251430.1864,566936807711.3175,564637901045.103,651897680397.2805,580800581298.0868,553073034124.5482,142842975726.83078,387181003602,392449025724,368456131121,375491711069,381459004510.1819,356362354000.7795,379798138689.5015,375428100451.7336,367471665052.88696,373411952320.0572,435913221757.6687,375646927874.9899,359296402230.784,393893424952,350540957242,379798138689.5015,375428100451.7336,367471665052.88696,373411952320.0572,435913221757.6687,375646927874.9899,359296402230.784,155508547645.84015
1679961600,102.3639,102.3639,101.9739,102.0059,102.3397985461119,104.14982247422148,102.39949128466093,102.93833137592428,103.49714225484384,104.2623714806906,99.68156818305155,103.94343559625268,103.050848913435,103.5909,101.5039,102.39949128466093,102.93833137592428,103.49714225484384,104.2623714806906,99.68156818305155,103.94343559625268,103.050848913435,40528,1100610947999,1128079759606,1084414745564,1117069633077,1109364611220.637,989167017237.8938,1118929289508.5205,1106264821621.5442,1042034820507.1898,998510070159.9988,1173139783879.6982,1071679382453.8712,1012390258560.5084,1181860821592,1094721166491,1118929289508.5205,1106264821621.5442,1042034820507.1898,998510070159.9988,1173139783879.6982,1071679382453.8712,1012390258560.5084,80236328694.4077,575965869222,596222264169,569549372066,589840834724,583948017504.0719,551127872641.3228,588503570086.8523,586605270576.7412,569857463419.9526,565502983295.8628,651248986407.3171,583296118518.6129,556418808321.2924,624882996169,576206888963,588503570086.8523,586605270576.7412,569857463419.9526,565502983295.8628,651248986407.3171,583296118518.6129,556418808321.2924,100454893280.46982,365972314792,376531804580,361330238696,372804664293,370392396206.173,358253267673.9615,373494044895.2225,373909523979.8684,368174763164.0288,373366487262.99335,435279851010.50055,376104074146.4353,360245452181.6222,397960372381,366262284080,373494044895.2225,373909523979.8684,368174763164.0288,373366487262.99335,435279851010.50055,376104074146.4353,360245452181.6222,109796521140.10648
1680048000,102.0399,102.4349,101.9579,102.2529,102.29338220027444,104.04714363013667,102.35062752310728,102.8404126079351,103.4483484409284,104.2423767395892,99.68798848721372,103.87185614485288,103.02484073700391,103.5909,101.5039,102.35062752310728,102.8404126079351,103.4483484409284,104.2423767395892,99.68798848721372,103.87185614485288,103.02484073700391,48519,1117085263716,1167016662489,1115035680398,1149669478314,1122361857076.9126,992169366602.856,1129176019110.347,1112465486863.3235,1046255787480.006,1000014143872.974,1173081181368.9224,1075800316545.1852,1016711258414.8264,1181860821592,1094721166491,1129176019110.347,1112465486863.3235,1046255787480.006,1000014143872.974,1173081181368.9224,1075800316545.1852,1016711258414.8264,82287658996.55862,589795585919,613370378342,588076182691,601638382149,590371353166.0338,552334521542.8037,592881840774.2349,588752857944.2068,571103773958.3467,565862539503.3567,651125114736.2601,584385509645.0425,557822038271.6509,624882996169,576206888963,592881840774.2349,588752857944.2068,571103773958.3467,565862539503.3567,651125114736.2601,584385509645.0425,557822038271.6509,103017627019.52016,372681096214,389881433946,371043683476,382179209167,374397581639.2476,358881580135.7416,376389099652.4817,375090907578.03,368723957124.9296,373454176038.1576,435147265138.2321,376557431581.6415,360890482668.21765,397960372381,366262284080,376389099652.4817,375090907578.03,368723957124.9296,373454176038.1576,435147265138.2321,376557431581.6415,360890482668.21765,112771858968.79942
